student_id,first_name,last_name,email,phone_number,address,program_name,year
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,Scott,Mckenzie,vmata@example.com,+1-824-470-3964x7648,"925 Adams Freeway
Mooreville, SD 82191",M.Sc. in International Management,Sophomore
742bfaf3-68e9-4b41-85f3-1685751eda90,Anthony,Phillips,michaelsmith@example.org,+1-591-515-4305x63575,"0996 Ware Station
Adamsview, AS 06846",M.Sc. in International Management,Junior
6b97e0b2-327d-4b55-84b7-b77c517fc087,Kimberly,Zimmerman,jeff57@example.net,(778)497-5565,"PSC 6308, Box 0623
APO AP 31497",M.Sc. in Mechatronics,Junior
f88fe06a-26db-48b2-8096-66e000259bbf,Austin,King,scott31@example.com,3163177631,"99932 Harris Dam
Davismouth, HI 24660",M.Sc. in Applied Computer Science,Sophomore
e8bf1aee-c82e-422f-b7dc-8a3cf7d1ec2b,Renee,Bernard,obender@example.org,(465)613-1259x069,"9156 Carpenter Skyway Apt. 161
Michaelchester, SD 39321",B.A. in Business Informatics,Junior
f32086f2-c543-4575-a414-6602811c0a9f,Jennifer,Velez,eward@example.com,001-355-808-2681x570,"54441 Bailey Pike
Aaronside, NV 71842",M.Sc. in Applied Computer Science,Senior
40e5475b-979f-479b-8104-7e5b106b8d26,Daniel,Cox,whitneycraig@example.org,(397)239-7924x745,"7661 Shelby Street Suite 105
East Lindaside, NJ 19726",M.Sc. in Mechatronics,Senior
0daffcaf-9e60-4ce2-921d-54d5cc46149e,Jennifer,Logan,thompsonbrandon@example.net,001-478-306-8958x599,"997 Zamora Ville Suite 091
South Kellymouth, OR 79073",M.Sc. in Applied Computer Science,Freshman
c1dd54ba-2b93-423a-b50f-009b0f6718d5,Debra,Coleman,thomasvictoria@example.com,762-586-2878,"95185 Jonathan Flat
Chadview, VI 57951",B.A. in International Management,Senior
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,Scott,Knox,james59@example.org,001-597-648-7997x584,"28438 Melissa Club Suite 232
Port Josephmouth, WV 30091",M.Sc. in Applied Mathematics,Sophomore
2ec737fa-a96e-4ec7-b9fc-235df87d3658,Mark,Sandoval,sean45@example.net,001-592-703-5290x9450,"596 Porter Tunnel
Gordonchester, TN 52213",B.Eng. in Electrical Engineering,Freshman
eb55294c-1e87-4233-8b4d-dd4314eb90a9,Mary,Gardner,cameron15@example.org,+1-603-952-9175x25269,"USNS Blevins
FPO AA 96600",M.Sc. in Applied Chemistry and Environmental Engineering,Junior
36630481-8344-41bc-93f7-0ceb32b3ee34,Alicia,Morgan,christopher20@example.com,269.475.2138,"59325 Anna Greens Apt. 485
Benjaminborough, KS 01732",B.A. in Business Informatics,Senior
92d6bd59-705b-4723-9c2a-8d81fb2c117f,Beth,Graham,kharding@example.net,(325)209-6670,"Unit 6250 Box 5110
DPO AA 20560",M.Sc. in Applied Chemistry and Environmental Engineering,Junior
d77119a1-32b0-4f4b-a4c2-97cc598ec190,Kevin,Reyes,greynolds@example.org,+1-474-968-8469,"246 Maria Valley Apt. 812
Joannaport, DE 08858",M.Sc. in Mechatronics,Sophomore
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,Bernard,Ramirez,jimmyharris@example.org,(483)323-0554,"20507 Nash Orchard Apt. 700
Lake Donald, AL 64851",M.Sc. in Technology and Management,Junior
5c82cbaa-530c-4b6d-9fa7-a3e95b6c13c4,Robert,Williams,jonathantaylor@example.com,+1-266-352-8365x105,"779 Vance Trafficway
North Justinview, WI 57535",M.Sc. in Media Technology and Design,Senior
3d5ddb83-a96b-48b2-a693-db9e336fd14f,Kenneth,Robinson,jasminewells@example.net,(556)945-3070x823,"10655 Smith Viaduct
North James, MA 18178",M.Sc. in Applied Physics,Senior
de5f0a46-6f13-4359-a236-07d67280f05f,Christina,Newman,christophermartinez@example.com,+1-356-469-3658x470,"USNS Clements
FPO AP 55342",B.Sc. in Artificial Intelligence,Senior
8d5e429f-05a5-4f9b-9f01-122ae3e7430e,Karen,Perez,andrewvalencia@example.org,001-934-909-2615x8690,"Unit 7822 Box 4297
DPO AA 88120",B.Eng. in Mechatronics,Junior
f3f7e32d-46a9-492a-b064-1433a95cb57c,Alexander,Hamilton,bjohnson@example.com,818-297-6575,"7799 Alex Prairie
Starkmouth, TN 35368",B.Eng. in Electrical Engineering,Sophomore
b832eb31-019f-4346-9b18-03771321d7be,Emily,Zavala,millergabrielle@example.org,001-953-552-8038x89282,"5333 Judy Tunnel
Port Theodorestad, PR 36140",B.A. in International Management,Senior
3904bb98-5e55-47d3-87d9-30be9b6dcb82,Jessica,Rodriguez,fdelgado@example.org,(367)660-9278x0946,"075 Morgan Rapid
Robintown, MT 07401",B.Eng. in Mechatronics,Freshman
90465776-bfd3-4b52-8d4e-fcd1ff432911,Stephanie,Russell,millermorgan@example.com,(658)891-5953,"0100 Donna Harbors
Lake Cynthiaside, ME 25614",B.Sc. in Applied Computer Science,Senior
96f024b7-0cf9-40c9-a724-d97cc3ed494f,Zachary,Anderson,mosleytaylor@example.com,5228098425,"652 Reed Road
West Jesus, SC 16098",M.Sc. in Applied Chemistry and Environmental Engineering,Sophomore
5a47f6c3-64a6-423c-ae75-e475fcd8d301,James,Hernandez,martinezdaryl@example.com,680-876-8324x479,"087 Mccormick Meadow
Anthonyview, MH 28840",B.Sc. in Applied Mathematics,Sophomore
af539537-7e58-473f-b85c-8dbd863c37e4,Charlene,Green,nicholas54@example.net,001-266-632-7409,"178 Xavier Lakes
Morrischester, CO 86622",B.Sc. in Artificial Intelligence,Junior
4ab12d93-2052-4733-a3c9-68e612716fcc,Sherry,Kelly,carmenross@example.com,585.751.9218,"02852 Tracy Summit
New Johnburgh, VA 72406",B.Sc. in Applied Mathematics,Freshman
8338dd73-e95d-4915-bebb-1eb954f59ab3,Brittany,Wright,janderson@example.com,905.649.2262,"0313 Brittany Stravenue
South Michellemouth, OR 85873",B.Sc. in Applied Mathematics,Junior
7155bf4b-c68d-4a85-807c-17bd544cbc70,Philip,Cox,crystal18@example.org,001-634-522-7055x946,"04587 Johnson Point Suite 972
Mccartyborough, MO 63244",M.Sc. in Applied Physics,Senior
bcaec460-9004-4612-b16f-e32f965aac06,William,Wilson,shafferjohn@example.net,429.808.0424,"658 Jensen Islands
West Meghan, UT 10688",B.Sc. in Artificial Intelligence,Sophomore
7698255d-f434-4d0f-b142-fa421118e875,James,King,ronaldmoreno@example.org,+1-511-553-4167,"5615 Thomas Forest
Shelbyside, PA 92492",M.Sc. in Applied Computer Science,Senior
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,Richard,Roberts,bskinner@example.com,+1-778-735-8184x1525,"58764 Hernandez Road
Patrickton, HI 69640",B.Sc. in Artificial Intelligence,Freshman
e24e0d27-09af-404c-8d05-2dd3edb83619,Keith,Johnson,whendrix@example.org,+1-210-508-1259x1891,"44962 Michael Station Apt. 768
Laurenbury, AZ 97129",B.Sc. in Applied Mathematics,Sophomore
cefbd465-34dd-4fce-b1f4-18fb45bf6082,Alyssa,Cochran,jesuscooper@example.net,395-458-0395x63491,"PSC 6986, Box 3030
APO AP 51997",M.Sc. in Healthcare Informatics,Sophomore
5643b5d9-dd9c-4a42-97e4-bc4eb8745207,Emily,Watson,rebeccaayers@example.net,001-925-286-2623x061,"73270 Watson Fords Suite 055
Barneshaven, MA 92257",B.Sc. in Media Technology and Design,Sophomore
21bc9a71-d2ae-496e-97ee-11fce7030c3d,William,Ramirez,christianduncan@example.com,+1-999-869-0090,"463 Maria Tunnel Apt. 156
Lake Alexis, ID 31843",B.Sc. in Healthcare Informatics,Senior
295e7de0-6283-4779-89ea-90bece735d16,Susan,Tucker,hendersonjay@example.com,+1-326-425-2347x067,"25918 David Skyway Apt. 338
New David, WA 24418",M.Sc. in Media Technology and Design,Sophomore
7236b0ca-6f9c-42c8-87c1-2c9281195289,Kari,Ward,taylorjeffrey@example.com,001-968-315-9181x4873,"9827 Davis Crossing Apt. 136
Lake Jessicaburgh, GU 15558",B.A. in International Management,Senior
831f38a3-0b46-4988-bbc6-3b0a13f33d30,Anthony,Edwards,andreahooper@example.org,(885)891-2504x915,"74726 Zavala Ranch
Luisfort, OK 43042",B.Sc. in Media Technology and Design,Junior
9262401d-1aae-4c0b-900b-c00d5714989c,Nicholas,Rivera,robert59@example.com,511-285-3944x613,"43128 Knight Key Apt. 131
New Brianton, AS 82303",B.Eng. in Mechatronics,Senior
6c25e819-91d8-43b8-b5d1-6c8fa8eeb7e5,Jason,Beard,sherry35@example.com,(789)707-1820x152,"492 Jennifer Falls
Port Bryceburgh, NE 51743",M.Sc. in Applied Physics,Junior
1f4c5cac-c2dd-44c2-8929-c6f2673525b7,Kathleen,Petersen,cobbjohnny@example.net,5618147580,"PSC 0365, Box 6878
APO AP 69063",B.Sc. in Artificial Intelligence,Sophomore
4b76ddf5-2ab5-4d13-a7cd-0fcc18b52fcb,Michelle,Mitchell,darlene09@example.org,345.418.4898x9024,"749 Jenna Falls Apt. 140
Joemouth, OH 83441",M.Sc. in Technology and Management,Sophomore
bbda7d88-b735-4169-84d9-676ae0c15fe8,Megan,Wallace,jonathan10@example.com,+1-653-412-9718x77696,"8432 Cheryl Burgs Apt. 084
Lauraberg, UT 11581",B.Sc. in Artificial Intelligence,Freshman
927387bb-4938-4076-8ab7-c21e7240c33f,Theresa,Gray,ncase@example.net,(835)916-2317x0183,"283 Young Greens
West Stephanie, NE 50233",M.Sc. in International Management,Senior
71ce8ca7-d3ba-4e50-ad0d-b8ddd0c8ff6a,Xavier,Walker,turnerwilliam@example.org,981-849-8212x5786,"354 Warren Shoals Suite 730
Garciafort, NV 62206",M.Sc. in Applied Chemistry and Environmental Engineering,Senior
b37aa86c-c33d-4f08-92f2-3ae31e36342c,Daniel,Lopez,cvelez@example.org,6453726521,"24447 Gomez Route Suite 153
West Jacobhaven, AL 38708",B.Sc. in Applied Mathematics,Freshman
dc07d969-87e1-4911-9866-ec0956fb98f2,Lauren,Caldwell,kennedymichelle@example.org,708.377.8564x97300,"11787 Michelle Garden Suite 481
Dylanburgh, LA 87322",M.Sc. in Business Informatics,Freshman
53796285-1df3-4aa3-a372-68631e657f70,Kayla,Wilson,michelle06@example.com,(923)721-5057x7188,"233 Angela Rapid Apt. 084
Lake James, VA 08488",M.Sc. in Media Technology and Design,Senior
82214333-a7a5-4960-b938-4af6d8a43e16,William,Perkins,phillipsvalerie@example.net,001-802-367-6882x2229,"6963 Phillips Vista Apt. 398
South Amy, VA 08441",M.Sc. in Electrical Engineering and Information Technology,Junior
3c250263-45fc-4f26-80dc-9959101015e7,Daniel,Herman,christopherweber@example.org,001-514-788-1868x762,"280 Tanya Gardens
Deanbury, KY 74797",M.Sc. in Applied Computer Science,Junior
745bcdcb-9021-4800-8839-1f7a494f1881,Ashley,Evans,holly62@example.com,2166423102,"3527 Mccoy Stravenue
Saraborough, ID 03484",B.Sc. in Media Technology and Design,Senior
4d4a94ec-09db-4639-a7b5-1aee4e086399,Gwendolyn,Lewis,kennethgarcia@example.net,760.265.7195,"580 Kimberly Keys Apt. 812
Dixonberg, OK 35511",B.Sc. in Applied Physics,Senior
af1bdbb8-c351-47bb-a7d1-3ea1b612dfc1,Dustin,Mckinney,ohart@example.org,987.909.9002x0530,"776 Joshua Plains
New Abigailberg, NE 00884",M.Sc. in Applied Chemistry and Environmental Engineering,Senior
d9c2199e-133e-44ce-afe2-191f15cbcb7e,Anthony,Melton,maymarcus@example.net,9694904372,"251 Danielle River Suite 561
East Kevinmouth, OK 25467",M.Sc. in Business Informatics,Junior
fa78b6d1-8ccd-41c3-b9fa-82ecf484774a,Stephanie,Robles,paul80@example.net,629.855.4311,"50388 Leah Forge
Meganchester, OR 43739",M.Sc. in Media Technology and Design,Sophomore
2ca410ce-f79a-4cf0-a0cc-337c62b24ceb,Timothy,Carney,obaker@example.net,(292)274-5005x617,"22992 Meza Manors
Ericafort, WY 32959",B.Sc. in Media Technology and Design,Senior
51ecb49b-d3c2-4392-931c-f6a0dcf0acde,Joshua,Medina,gfernandez@example.net,+1-685-703-4532x7316,"7788 Jay Ways
North Kimberlyberg, AL 42596",M.Sc. in Mechanical Engineering,Junior
662a1de2-d222-4fc1-8454-72b8b2636ed3,Michael,Garcia,kathymarsh@example.net,001-365-389-6584x415,"28996 Lauren Valleys
West Gregory, MD 93498",B.Eng. in Electrical Engineering,Junior
920a7025-9d24-4958-a440-b744e9262b11,David,Martin,sarahsmith@example.net,(591)270-0084,"9846 Flowers Mills Apt. 513
Ambershire, FM 66374",M.Sc. in Technology and Management,Junior
b88eb239-ac97-4e60-be6e-0862d2d4fb20,Michael,Brown,robbinsbarbara@example.org,+1-895-675-7687x0768,"53562 Bowers Motorway
Bradleyborough, NV 49916",B.Sc. in Applied Physics,Junior
a99561a8-9e3d-41ce-95e5-903ea2363562,Nicholas,Mora,edwardhill@example.com,(812)235-8333x10654,"10803 Crawford Spring
North Javierstad, ID 45516",M.Sc. in Technology and Management,Sophomore
